;ID;jenis_kelamin;pemilik_mobil;pemilik_properti;anak;pendapatan_tahunan;jenis_pendapatan;pendidikan;status_perkawinan;jenis_rumah;usia;pengalaman_kerja;telepon_seluler;telepon_kerja;telepon;ID_email;anggota_keluarga
78;5065462;F;N;N;0;157500.0;Commercial associate;Secondary / secondary special;Married;House / apartment;52.00.00;04.00;1;0;0;0;2
79;5065518;F;Y;N;1;202500.0;Working;Higher education;Married;Rented apartment;26.00.00;08.00;1;0;0;0;3
80;5068389;F;Y;Y;1;270000.0;Working;Higher education;Separated;House / apartment;38.00.00;00.00;1;0;1;0;2
81;5068456;F;Y;N;0;135000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;37.00.00;07.00;1;0;0;0;2
82;5068651;F;Y;Y;0;360000.0;State servant;Higher education;Separated;House / apartment;53.00.00;05.00;1;0;0;0;1
83;5069216;F;Y;Y;0;256500.0;Commercial associate;Higher education;Married;House / apartment;31.00.00;05.00;1;1;0;0;2
84;5069218;F;Y;Y;0;256500.0;Commercial associate;Higher education;Single / not married;House / apartment;31.00.00;05.00;1;1;0;0;2
85;5069307;M;N;Y;0;157500.0;Working;Secondary / secondary special;Married;House / apartment;43.00.00;04.00;1;0;0;0;2
86;5078820;F;N;N;2;225000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;40.00.00;14.00;1;0;0;0;4
87;5078945;F;N;Y;2;180000.0;Working;Incomplete higher;Separated;House / apartment;34.00.00;10.00;1;1;0;0;3
88;5078946;F;N;Y;2;180000.0;Working;Incomplete higher;Separated;House / apartment;34.00.00;10.00;1;1;0;0;3
89;5079166;M;Y;N;0;202500.0;Working;Secondary / secondary special;Married;With parents;38.00.00;04.00;1;0;0;0;2
90;5079167;M;Y;N;0;202500.0;Working;Secondary / secondary special;Married;With parents;38.00.00;04.00;1;0;0;0;2
91;5079168;M;Y;N;0;202500.0;Working;Secondary / secondary special;Married;With parents;38.00.00;04.00;1;0;0;0;2
92;5085886;M;Y;Y;0;315000.0;Commercial associate;Higher education;Married;House / apartment;51.00.00;03.00;1;0;0;0;2
93;5089162;F;Y;N;0;225000.0;Working;Higher education;Married;House / apartment;56.00.00;07.00;1;1;1;0;2
94;5089959;M;N;Y;1;126000.0;Commercial associate;Secondary / secondary special;Civil marriage;House / apartment;35.00.00;06.00;1;0;0;0;3
95;5090166;F;N;Y;1;675000.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;42.00.00;02.00;1;0;0;0;2
96;5090214;M;Y;Y;0;135000.0;Working;Secondary / secondary special;Married;House / apartment;29.00.00;01.00;1;0;0;0;2
97;5090216;M;Y;Y;0;135000.0;Working;Secondary / secondary special;Married;House / apartment;29.00.00;01.00;1;0;0;0;2
98;5092087;M;Y;Y;2;247500.0;Working;Secondary / secondary special;Married;House / apartment;47.00.00;01.00;1;0;0;0;4
99;5092245;F;N;N;0;103500.0;Pensioner;Secondary / secondary special;Married;House / apartment;61.00.00;00.00;1;0;0;0;2
100;5092479;M;N;N;1;85500.0;State servant;Secondary / secondary special;Married;Municipal apartment;41.00.00;19.00;1;0;0;0;3
101;5096527;F;N;N;0;135000.0;Working;Secondary / secondary special;Widow;Co-op apartment;55.00.00;02.00;1;0;0;0;1
102;5096528;F;N;N;0;135000.0;Working;Secondary / secondary special;Widow;Co-op apartment;55.00.00;02.00;1;0;0;0;1
103;5096743;F;N;Y;0;180000.0;Working;Lower secondary;Widow;House / apartment;46.00.00;06.00;1;1;1;0;1
104;5097065;F;N;Y;0;121500.0;Working;Secondary / secondary special;Married;House / apartment;52.00.00;22.00;1;0;0;0;2
105;5100430;M;Y;N;0;180000.0;Working;Secondary / secondary special;Single / not married;House / apartment;45.00.00;02.00;1;0;0;0;1
106;5105045;M;N;Y;0;225000.0;Pensioner;Secondary / secondary special;Widow;House / apartment;63.00.00;00.00;1;0;0;0;1
107;5105056;M;Y;N;0;1.913.993.262.295.080;Commercial associate;Higher education;Single / not married;Municipal apartment;32.00.00;02.00;1;0;1;1;1
108;5106077;F;N;Y;0;135000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;54.00.00;19.00;1;0;0;0;2
109;5113621;M;N;N;0;225000.0;Working;Secondary / secondary special;Widow;Municipal apartment;53.00.00;01.00;1;0;0;0;1
110;5113933;F;N;N;0;67500.0;Pensioner;Secondary / secondary special;Widow;House / apartment;64.00.00;00.00;1;0;1;0;1
111;5113944;F;Y;N;0;135000.0;Pensioner;Secondary / secondary special;Married;House / apartment;64.00.00;00.00;1;0;1;0;2
112;5114249;M;N;N;1;130500.0;Working;Incomplete higher;Married;Rented apartment;31.00.00;05.00;1;1;1;0;3
113;5114253;M;N;N;1;130500.0;Working;Incomplete higher;Married;Rented apartment;31.00.00;05.00;1;1;1;0;3
114;5115604;F;N;Y;0;202500.0;Working;Secondary / secondary special;Married;House / apartment;40.00.00;09.00;1;0;0;0;2
115;5115606;F;N;Y;0;202500.0;Working;Secondary / secondary special;Married;House / apartment;40.00.00;09.00;1;0;0;0;2
116;5115608;F;N;Y;0;202500.0;Working;Secondary / secondary special;Married;House / apartment;40.00.00;09.00;1;0;0;0;2
117;5115610;F;N;Y;0;202500.0;Working;Secondary / secondary special;Married;House / apartment;40.00.00;09.00;1;0;0;0;2
118;5115611;F;N;Y;0;202500.0;Working;Secondary / secondary special;Single / not married;House / apartment;40.00.00;09.00;1;0;0;0;2
119;5116035;M;Y;Y;0;126000.0;Working;Higher education;Single / not married;House / apartment;40.00.00;02.00;1;1;0;0;1
120;5116036;M;Y;Y;0;126000.0;Working;Higher education;Single / not married;House / apartment;40.00.00;02.00;1;1;0;0;1
121;5116258;F;N;Y;4;180000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;48.00.00;20.00;1;0;0;0;6
122;5116301;F;N;Y;0;180000.0;Pensioner;Secondary / secondary special;Married;House / apartment;62.00.00;00.00;1;0;0;0;2
123;5116302;F;N;Y;0;180000.0;Pensioner;Secondary / secondary special;Married;House / apartment;62.00.00;00.00;1;0;0;0;2
124;5116304;F;N;Y;0;180000.0;Pensioner;Secondary / secondary special;Married;House / apartment;62.00.00;00.00;1;0;0;0;2
125;5116305;F;N;Y;0;1.913.993.262.295.080;Pensioner;Secondary / secondary special;Married;House / apartment;62.00.00;00.00;1;0;0;0;2
126;5116906;M;Y;Y;0;211500.0;Pensioner;Secondary / secondary special;Married;House / apartment;41.00.00;21.00;1;0;0;0;2
127;5117313;F;N;Y;1;157500.0;Commercial associate;Secondary / secondary special;Married;House / apartment;36.00.00;11.00;1;1;1;0;3
128;5117413;F;N;N;0;81000.0;Pensioner;Secondary / secondary special;Separated;House / apartment;61.00.00;00.00;1;0;1;0;1
129;5118046;F;N;N;0;81000.0;Pensioner;Secondary / secondary special;Widow;House / apartment;65.00.00;00.00;1;0;1;0;1
130;5118275;F;N;N;0;112500.0;Pensioner;Secondary / secondary special;Married;Municipal apartment;59.00.00;00.00;1;0;0;0;2
131;5118278;F;N;N;0;112500.0;Pensioner;Secondary / secondary special;Married;Municipal apartment;59.00.00;00.00;1;0;0;0;2
132;5118279;F;N;N;0;112500.0;Pensioner;Secondary / secondary special;Married;Municipal apartment;59.00.00;00.00;1;0;0;0;2
133;5118280;F;N;N;0;112500.0;Pensioner;Secondary / secondary special;Single / not married;Municipal apartment;59.00.00;00.00;1;0;0;0;2
134;5118283;M;N;N;0;112500.0;Pensioner;Secondary / secondary special;Married;Municipal apartment;59.00.00;00.00;1;0;0;0;2
135;5118541;F;N;Y;0;72000.0;Working;Secondary / secondary special;Married;House / apartment;50.00.00;03.00;1;0;1;0;2
136;5125289;F;N;N;1;202500.0;Working;Secondary / secondary special;Separated;House / apartment;38.00.00;00.00;1;0;0;0;2
137;5125299;F;N;Y;0;148500.0;Pensioner;Secondary / secondary special;Married;House / apartment;57.00.00;00.00;1;0;0;0;2
138;5125708;F;Y;Y;0;135000.0;Working;Lower secondary;Married;House / apartment;45.00.00;02.00;1;0;1;0;2
139;5125716;F;Y;Y;0;135000.0;Working;Lower secondary;Married;House / apartment;45.00.00;02.00;1;0;1;0;2
140;5125761;M;N;Y;0;270000.0;Commercial associate;Secondary / secondary special;Single / not married;Municipal apartment;49.00.00;04.00;1;0;0;0;1
141;5125763;M;Y;N;1;135000.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;36.00.00;04.00;1;0;1;0;3
142;5125934;F;N;Y;2;135000.0;Commercial associate;Lower secondary;Civil marriage;With parents;27.00.00;05.00;1;1;0;0;4
143;5126278;F;N;N;0;162000.0;Pensioner;Secondary / secondary special;Married;House / apartment;58.00.00;00.00;1;0;0;0;2
144;5135344;M;N;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;55.00.00;02.00;1;0;0;0;2
145;5135345;M;N;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;55.00.00;02.00;1;0;0;0;2
146;5135346;M;N;Y;0;112500.0;Commercial associate;Higher education;Married;House / apartment;55.00.00;02.00;1;0;0;0;2
147;5135485;F;N;Y;0;135000.0;State servant;Higher education;Single / not married;Municipal apartment;29.00.00;05.00;1;0;0;0;1
148;5135487;F;N;Y;0;135000.0;State servant;Higher education;Single / not married;Municipal apartment;29.00.00;05.00;1;0;0;0;1
149;5135636;M;Y;Y;0;195750.0;Working;Secondary / secondary special;Married;House / apartment;52.00.00;03.00;1;1;1;0;2
150;5135990;F;N;Y;1;585000.0;Commercial associate;Higher education;Single / not married;House / apartment;29.00.00;02.00;1;0;0;0;2
151;5135991;F;N;Y;1;585000.0;Commercial associate;Higher education;Single / not married;House / apartment;29.00.00;02.00;1;0;0;0;2
152;5142183;M;Y;Y;2;1.913.993.262.295.080;Commercial associate;Higher education;Married;House / apartment;49.00.00;12.00;1;1;1;0;4
153;5142184;M;Y;Y;2;450000.0;Commercial associate;Higher education;Married;House / apartment;49.00.00;12.00;1;1;1;0;4
154;5142185;M;Y;Y;2;450000.0;Commercial associate;Higher education;Married;House / apartment;49.00.00;12.00;1;1;1;0;4
155;5142361;M;Y;Y;1;112500.0;Working;Secondary / secondary special;Married;House / apartment;44.00.00;03.00;1;1;1;0;3
156;5142362;M;Y;Y;1;112500.0;Working;Secondary / secondary special;Married;House / apartment;44.00.00;03.00;1;1;1;0;3
157;5142456;F;N;N;0;67500.0;Commercial associate;Higher education;Separated;House / apartment;52.00.00;01.00;1;0;1;0;1
158;5142458;F;N;Y;0;67500.0;Commercial associate;Higher education;Separated;House / apartment;52.00.00;01.00;1;0;1;0;1
159;5142459;F;N;Y;0;67500.0;Commercial associate;Higher education;Separated;House / apartment;52.00.00;01.00;1;0;1;0;1
160;5143342;M;N;N;1;216000.0;Working;Secondary / secondary special;Married;Municipal apartment;35.00.00;07.00;1;0;0;1;3
161;5145690;F;N;Y;0;306000.0;Pensioner;Higher education;Married;House / apartment;59.00.00;00.00;1;0;0;0;2
162;5145817;F;N;Y;0;90000.0;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;0;0;2
163;5146005;M;Y;Y;0;225000.0;Working;Secondary / secondary special;Single / not married;House / apartment;28.00.00;01.00;1;0;0;1;1
164;5146079;F;N;Y;1;108000.0;Working;Secondary / secondary special;Married;House / apartment;35.00.00;03.00;1;1;1;0;3
165;5146167;F;N;Y;0;135000.0;Working;Secondary / secondary special;Married;House / apartment;56.00.00;05.00;1;0;0;0;2
166;5146444;F;N;Y;0;135000.0;Working;Secondary / secondary special;Widow;House / apartment;39.00.00;03.00;1;0;1;0;1
167;5148932;M;Y;N;0;108000.0;Working;Secondary / secondary special;Married;Office apartment;47.00.00;03.00;1;0;0;0;2
168;5148934;M;Y;N;0;108000.0;Working;Secondary / secondary special;Married;Office apartment;47.00.00;03.00;1;0;0;0;2
169;5149188;M;Y;N;1;450000.0;Working;Higher education;Married;House / apartment;27.00.00;01.00;1;0;1;1;3
170;5149190;M;Y;N;1;450000.0;Working;Higher education;Married;House / apartment;27.00.00;01.00;1;0;1;1;3
171;5149192;F;Y;N;1;450000.0;Working;Higher education;Married;House / apartment;27.00.00;01.00;1;0;1;1;3
172;5149828;M;Y;Y;0;315000.0;Working;Secondary / secondary special;Married;House / apartment;48.00.00;07.00;1;0;0;0;2
173;5149834;F;N;Y;0;157500.0;Commercial associate;Higher education;Married;House / apartment;34.00.00;04.00;1;0;1;1;2
174;5149838;F;N;Y;0;157500.0;Pensioner;Higher education;Married;House / apartment;34.00.00;04.00;1;0;1;1;2
175;5118538;F;N;Y;1;81000.0;Working;Secondary / secondary special;Married;Municipal apartment;43.00.00;17.00;1;1;1;0;3
176;5069057;M;Y;N;0;225000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;49.00.00;07.00;1;0;0;0;2
177;5066689;F;N;Y;0;180000.0;Commercial associate;Higher education;Civil marriage;House / apartment;35.00.00;01.00;1;0;1;1;2
178;5086062;F;N;Y;0;135000.0;State servant;Secondary / secondary special;Married;House / apartment;56.00.00;26.00.00;1;0;1;0;2
179;5113717;F;N;N;1;135000.0;Working;Secondary / secondary special;Married;House / apartment;45.00.00;08.00;1;0;0;1;3
180;5066765;F;N;Y;1;63000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;40.00.00;08.00;1;0;0;0;3
181;5105227;F;N;Y;0;135000.0;Working;Secondary / secondary special;Married;House / apartment;48.00.00;06.00;1;0;0;0;2
182;5054648;F;N;Y;0;112500.0;Pensioner;Secondary / secondary special;Single / not married;House / apartment;66.00.00;00.00;1;0;0;0;1
183;5067187;F;N;Y;0;112500.0;Working;Higher education;Married;House / apartment;31.00.00;02.00;1;1;0;0;2
184;5105818;F;N;Y;0;45000.0;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;1;0;2
185;5033574;F;Y;Y;1;1.913.993.262.295.080;Working;Secondary / secondary special;Married;House / apartment;39.00.00;00.00;1;1;1;0;3
186;5125478;F;N;Y;0;202500.0;Pensioner;Secondary / secondary special;Married;House / apartment;57.00.00;00.00;1;0;0;0;2
187;5046340;M;N;Y;1;180000.0;Working;Lower secondary;Married;House / apartment;29.00.00;05.00;1;1;0;0;3
188;5054058;F;Y;N;1;450000.0;Working;Higher education;Married;House / apartment;41.00.00;13.00;1;0;1;0;3
189;5022326;M;Y;Y;0;256500.0;Commercial associate;Higher education;Married;House / apartment;59.00.00;05.00;1;0;0;1;2
190;5065764;F;N;Y;0;90000.0;Working;Secondary / secondary special;Single / not married;House / apartment;40.00.00;02.00;1;0;0;0;1
191;5067849;F;N;Y;0;180000.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;40.00.00;02.00;1;0;0;0;1
192;5097169;F;N;N;0;90000.0;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;29.00.00;02.00;1;0;0;0;1
193;5048583;F;N;Y;0;135000.0;Pensioner;Secondary / secondary special;Married;House / apartment;59.00.00;00.00;1;0;0;0;2
194;5115566;M;N;Y;0;126000.0;Pensioner;Secondary / secondary special;Married;Rented apartment;45.00.00;00.00;1;0;0;0;2
195;5052722;F;N;N;0;126000.0;Pensioner;Secondary / secondary special;Married;House / apartment;60.00.00;00.00;1;0;0;0;2
196;5067723;F;N;Y;1;337500.0;Working;Academic degree;Single / not married;House / apartment;34.00.00;08.00;1;0;0;0;2
197;5056077;M;Y;Y;0;90000.0;Working;Secondary / secondary special;Married;House / apartment;33.00.00;04.00;1;0;0;0;2
198;5022275;M;Y;Y;0;131400.0;Pensioner;Secondary / secondary special;Married;House / apartment;65.00.00;00.00;1;0;0;0;2
199;5143016;M;N;N;0;180000.0;Commercial associate;Secondary / secondary special;Civil marriage;Rented apartment;40.00.00;09.00;1;0;0;0;2
200;5066709;F;N;Y;0;247500.0;Pensioner;Secondary / secondary special;Widow;House / apartment;67.00.00;00.00;1;0;0;0;1
201;5021445;F;N;Y;0;121500.0;Working;Secondary / secondary special;Married;With parents;36.00.00;14.00;1;1;1;0;2
202;5053592;F;N;Y;1;117000.0;Working;Lower secondary;Widow;House / apartment;48.00.00;08.00;1;0;1;0;2
203;5116163;F;N;Y;2;90000.0;Working;Secondary / secondary special;Married;House / apartment;27.00.00;01.00;1;0;0;0;4
204;5041273;M;N;Y;0;445500.0;Commercial associate;Higher education;Separated;House / apartment;53.00.00;07.00;1;0;0;0;1
205;5066627;M;Y;Y;0;157500.0;Working;Secondary / secondary special;Married;House / apartment;43.952.817.824.377.400;02.00;1;0;0;0;2
206;5125399;M;Y;N;0;112500.0;Working;Secondary / secondary special;Married;House / apartment;28.00.00;02.00;1;0;0;0;2
207;5067345;F;Y;N;0;180000.0;Commercial associate;Secondary / secondary special;Married;House / apartment;45.00.00;03.00;1;0;1;0;2
208;5053711;F;Y;N;2;157500.0;Commercial associate;Incomplete higher;Married;House / apartment;35.00.00;04.00;1;0;0;1;4
209;5096234;F;N;N;0;117000.0;Working;Secondary / secondary special;Married;House / apartment;47.00.00;20.00;1;1;1;0;2
210;5125158;M;N;Y;1;234000.0;Working;Secondary / secondary special;Married;House / apartment;33.00.00;05.00;1;0;0;0;3
211;5143231;F;Y;Y;1;1575000.0;Commercial associate;Higher education;Single / not married;House / apartment;28.00.00;07.00;1;0;0;0;2
212;5062688;M;Y;Y;0;247500.0;State servant;Secondary / secondary special;Married;Municipal apartment;55.00.00;02.00;1;1;0;1;2
213;5105685;F;N;Y;2;144000.0;Working;Secondary / secondary special;Married;House / apartment;39.00.00;08.00;1;1;1;0;4
214;5115984;M;Y;Y;2;180000.0;Working;Higher education;Married;House / apartment;36.00.00;07.00;1;0;0;0;4
215;5085769;F;N;Y;0;1.913.993.262.295.080;Commercial associate;Secondary / secondary special;Married;House / apartment;53.00.00;04.00;1;0;0;0;2
